"fonte"	"formulario"	"numero_label"	"variavel"	"idV"	"resposta"	"tipo_questao"	"descricao"	"obsV"	"numero_pagina"	"limite_caracteres"	"palavras_chave"	"respostas_ilimitadas"	"texto_orientacao"
"1639"	"3.4.4"	""	"uf"	"Sigla da UF"	"Somente texto"	"Somente texto"	"Sigla da Unidade Federativa"	""	""	""	""	""	""
"1639"	"3.4.4"	""	"nome_municipio"	"Nome do município"	"Somente texto"	"Somente texto"	"Nome do município"	""	""	""	""	""	""
"1639"	"3.4.4"	""	"formulario"	"Código do formulário"	"Campo aberto"	"Campo aberto"	"Código do formulário"	""	""	""	""	""	""
"1639"	"3.4.4"	""	"versao_salva"	"Código da versão salva do formulário"	"Apenas número"	"Apenas número"	"Código da versão salva do formulário"	""	""	""	""	""	""
"1639"	"3.4.4"	""	"codigo_municipio"	"Código IBGE do município"	"Apenas número"	"Apenas número"	"Código IBGE do município"	""	""	""	""	""	""
"1639"	"3.4.4"	"1"	"v9165"	"Nome de Identificação do Banco de Alimentos:"	"Campo aberto"	"Campo aberto"	"Informe o nome ou a denominação do Banco de Alimentos."	""	"1"	""	"Gestão, Sisan, Equipamentos Públicos de SAN, banco de alimentos"	""	""
"1639"	"3.4.4"	"1.1"	"v9166"	"Endereço do Banco de Alimentos:"	"Textarea "	"Textarea "	"Endereço completo do Banco de Alimentos."	""	"1"	""	"Gestão, Sisan, Equipamentos Públicos de SAN, banco de alimentos"	""	""
"1639"	"3.4.4"	"1.2"	"v9167"	"Bairro:"	"Campo aberto"	"Campo aberto"	"Informe o Bairro do Banco de Alimentos"	""	"1"	""	"Gestão, Sisan, Equipamentos Públicos de SAN, banco de alimentos"	""	""
"1639"	"3.4.4"	"1.3"	"v9168"	"CEP:"	"CEP"	"CEP"	"Informe o CEP do Banco de Alimentos."	""	"1"	"9"	"Gestão, Sisan, Equipamentos Públicos de SAN, banco de alimentos"	""	""
"1639"	"3.4.4"	"1.4"	"v9169"	"Cidade:"	"Campo aberto"	"Campo aberto"	"Preenchido automaticamente pelo sistema."	""	"1"	""	"Gestão, Sisan, Equipamentos Públicos de SAN, banco de alimentos"	""	""
"1639"	"3.4.4"	"1.5"	"v9170"	"Estado (UF):"	"Somente texto"	"Somente texto"	"Preenchido automaticamente pelo sistema."	""	"1"	"2"	"Gestão, Sisan, Equipamentos Públicos de SAN, banco de alimentos"	""	""
"1639"	"3.4.4"	"1.6"	"v9171"	"Telefone:"	"Telefone"	"Telefone"	"Informe o telefone do Bando de Alimentos."	""	"1"	"9"	"Gestão, Sisan, Equipamentos Públicos de SAN, banco de alimentos"	""	""
